Doença,Código CID-10
Tuberculose do sistema nervoso,A17.0
Tuberculose do sistema nervoso,A17.1
Tuberculose do sistema nervoso,A17.8
Tuberculose do sistema nervoso,A17.9
Tuberculose miliar,A19.0
Tuberculose miliar,A19.1
Tuberculose miliar,A19.2
Tuberculose miliar,A19.8
Tuberculose miliar,A19.9
Tétano neonatal,A33
Tétano,A35
Difteria,A36.0
Difteria,A36.1
Difteria,A36.2
Difteria,A36.3
Difteria,A36.8
Difteria,A36.9
Coqueluche,A37.0
Coqueluche,A37.1
Coqueluche,A37.8
Coqueluche,A37.9
Poliomielite aguda,A80.0
Poliomielite aguda,A80.1
Poliomielite aguda,A80.2
Poliomielite aguda,A80.3
Poliomielite aguda,A80.4
Poliomielite aguda,A80.9
Sarampo,B05.0
Sarampo,B05.1
Sarampo,B05.2
Sarampo,B05.3
Sarampo,B05.4
Sarampo,B05.8
Sarampo,B05.9
Rubéola,B06.0
Rubéola,B06.8
Rubéola,B06.9
Hepatite aguda B,B16.0
Hepatite aguda B,B16.1
Hepatite aguda B,B16.2
Hepatite aguda B,B16.9
Caxumba,B26.0
Caxumba,B26.1
Caxumba,B26.2
Caxumba,B26.3
Caxumba,B26.8
Caxumba,B26.9
Meningite por Haemophilus,G00.0
Síndrome da rubéola congênita,P35.0
Hepatite viral congênita,P35.3
Sífilis congênita,A50.0
Sífilis congênita,A50.1
Sífilis congênita,A50.2
Sífilis congênita,A50.3
Sífilis congênita,A50.4
Sífilis congênita,A50.5
Sífilis congênita,A50.6
Sífilis congênita,A50.7
Sífilis congênita,A50.9
Doenças pelo vírus da imunodeficiência humana [HIV],B20.0
Doenças pelo vírus da imunodeficiência humana [HIV],B20.1
Doenças pelo vírus da imunodeficiência humana [HIV],B20.2
Doenças pelo vírus da imunodeficiência humana [HIV],B20.3
Doenças pelo vírus da imunodeficiência humana [HIV],B20.4
Doenças pelo vírus da imunodeficiência humana [HIV],B20.5
Doenças pelo vírus da imunodeficiência humana [HIV],B20.6
Doenças pelo vírus da imunodeficiência humana [HIV],B20.7
Doenças pelo vírus da imunodeficiência humana [HIV],B20.8
Doenças pelo vírus da imunodeficiência humana [HIV],B20.9
Doenças pelo vírus da imunodeficiência humana [HIV],B21.0
Doenças pelo vírus da imunodeficiência humana [HIV],B21.1
Doenças pelo vírus da imunodeficiência humana [HIV],B21.2
Doenças pelo vírus da imunodeficiência humana [HIV],B21.3
Doenças pelo vírus da imunodeficiência humana [HIV],B21.7
Doenças pelo vírus da imunodeficiência humana [HIV],B21.8
Doenças pelo vírus da imunodeficiência humana [HIV],B21.9
Doenças pelo vírus da imunodeficiência humana [HIV],B22.0
Doenças pelo vírus da imunodeficiência humana [HIV],B22.1
Doenças pelo vírus da imunodeficiência humana [HIV],B22.2
Doenças pelo vírus da imunodeficiência humana [HIV],B22.7
Doenças pelo vírus da imunodeficiência humana [HIV],B23.0
Doenças pelo vírus da imunodeficiência humana [HIV],B23.1
Doenças pelo vírus da imunodeficiência humana [HIV],B23.2
Doenças pelo vírus da imunodeficiência humana [HIV],B23.8
Doenças pelo vírus da imunodeficiência humana [HIV],B24
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.0
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.1
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.2
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.3
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.4
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.5
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.6
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.7
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.8
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.9
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.0
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.1
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.2
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.3
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.4
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.5
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.6
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.7
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.8
Algumas situações de feto e recém-nascido afetados por complicações da placenta e das membranas,P02.9
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P00.0
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P00.1
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P00.2
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P00.3
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P00.4
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P00.5
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P00.6
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P00.7
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P00.8
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P00.9
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P04.0
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P04.1
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P04.2
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P04.3
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P04.4
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P04.5
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P04.6
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P04.8
"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual, e por influências nocivas transmitidas ao feto via placenta ou leite materno",P04.9
Feto e recém-nascido afetados por complicações maternas da gravidez,P01.0
Feto e recém-nascido afetados por complicações maternas da gravidez,P01.1
Feto e recém-nascido afetados por complicações maternas da gravidez,P01.2
Feto e recém-nascido afetados por complicações maternas da gravidez,P01.3
Feto e recém-nascido afetados por complicações maternas da gravidez,P01.4
Feto e recém-nascido afetados por complicações maternas da gravidez,P01.5
Feto e recém-nascido afetados por complicações maternas da gravidez,P01.6
Feto e recém-nascido afetados por complicações maternas da gravidez,P01.7
Feto e recém-nascido afetados por complicações maternas da gravidez,P01.8
Feto e recém-nascido afetados por complicações maternas da gravidez,P01.9
Crescimento fetal retardado e desnutrição fetal,P05.0
Crescimento fetal retardado e desnutrição fetal,P05.1
Crescimento fetal retardado e desnutrição fetal,P05.2
Crescimento fetal retardado e desnutrição fetal,P05.9
"Transtornos relacionados com a gestação de curta duração e peso baixo ao nascer, não classificados em outra parte",P07.0
"Transtornos relacionados com a gestação de curta duração e peso baixo ao nascer, não classificados em outra parte",P07.1
"Transtornos relacionados com a gestação de curta duração e peso baixo ao nascer, não classificados em outra parte",P07.2
"Transtornos relacionados com a gestação de curta duração e peso baixo ao nascer, não classificados em outra parte",P07.3
Síndrome da angústia respiratória do recém-nascido,P22.0
Hemorragia pulmonar originada no período perinatal,P26.0
Hemorragia pulmonar originada no período perinatal,P26.1
Hemorragia pulmonar originada no período perinatal,P26.8
Hemorragia pulmonar originada no período perinatal,P26.9
Hemorragia intracraniana não traumática do feto e do recém-nascido,P52.0
Hemorragia intracraniana não traumática do feto e do recém-nascido,P52.1
Hemorragia intracraniana não traumática do feto e do recém-nascido,P52.2
Hemorragia intracraniana não traumática do feto e do recém-nascido,P52.3
Hemorragia intracraniana não traumática do feto e do recém-nascido,P52.4
Hemorragia intracraniana não traumática do feto e do recém-nascido,P52.5
Hemorragia intracraniana não traumática do feto e do recém-nascido,P52.6
Hemorragia intracraniana não traumática do feto e do recém-nascido,P52.8
Hemorragia intracraniana não traumática do feto e do recém-nascido,P52.9
Isoimunização Rh ou ABO do feto e do recém-nascido,P55.0
Isoimunização Rh ou ABO do feto e do recém-nascido,P55.1
Isoimunização Rh ou ABO do feto e do recém-nascido,P55.8
Isoimunização Rh ou ABO do feto e do recém-nascido,P55.9
Outras doenças hemolíticas do feto e do recém-nascido devido a isoimunização,P55.0
Outras doenças hemolíticas do feto e do recém-nascido devido a isoimunização,P55.1
Outras doenças hemolíticas do feto e do recém-nascido devido a isoimunização,P55.8
Outras doenças hemolíticas do feto e do recém-nascido devido a isoimunização,P55.9
Outras doenças hemolíticas do feto e do recém-nascido devido a isoimunização,P56.0
Outras doenças hemolíticas do feto e do recém-nascido devido a isoimunização,P56.9
Outras doenças hemolíticas do feto e do recém-nascido devido a isoimunização,P57.0
Outras doenças hemolíticas do feto e do recém-nascido devido a isoimunização,P57.8
Outras doenças hemolíticas do feto e do recém-nascido devido a isoimunização,P57.9
Enterocolite necrotizante do feto e do recém-nascido,P77
Feto e recém-nascido afetados por placenta prévia e por outras formas de descolamento da placenta e hemorragia,P02.0
Feto e recém-nascido afetados por placenta prévia e por outras formas de descolamento da placenta e hemorragia,P02.1
Feto e recém-nascido afetados por placenta prévia e por outras formas de descolamento da placenta e hemorragia,P02.2
Feto e recém-nascido afetados por placenta prévia e por outras formas de descolamento da placenta e hemorragia,P02.3
Feto e recém-nascido afetados por placenta prévia e por outras formas de descolamento da placenta e hemorragia,P02.4
Feto e recém-nascido afetados por placenta prévia e por outras formas de descolamento da placenta e hemorragia,P02.5
Feto e recém-nascido afetados por placenta prévia e por outras formas de descolamento da placenta e hemorragia,P02.6
Feto e recém-nascido afetados por placenta prévia e por outras formas de descolamento da placenta e hemorragia,P02.7
Feto e recém-nascido afetados por placenta prévia e por outras formas de descolamento da placenta e hemorragia,P02.8
Feto e recém-nascido afetados por placenta prévia e por outras formas de descolamento da placenta e hemorragia,P02.9
Feto e recém-nascido afetados por afecções do cordão umbilical,P02.0
Feto e recém-nascido afetados por afecções do cordão umbilical,P02.1
Feto e recém-nascido afetados por afecções do cordão umbilical,P02.2
Feto e recém-nascido afetados por afecções do cordão umbilical,P02.3
Feto e recém-nascido afetados por afecções do cordão umbilical,P02.4
Feto e recém-nascido afetados por afecções do cordão umbilical,P02.5
Feto e recém-nascido afetados por afecções do cordão umbilical,P02.6
Feto e recém-nascido afetados por afecções do cordão umbilical,P02.7
Feto e recém-nascido afetados por afecções do cordão umbilical,P02.8
Feto e recém-nascido afetados por afecções do cordão umbilical,P02.9
Feto e recém-nascido afetados por outras complicações do trabalho de parto e do parto,P03.0
Feto e recém-nascido afetados por outras complicações do trabalho de parto e do parto,P03.1
Feto e recém-nascido afetados por outras complicações do trabalho de parto e do parto,P03.2
Feto e recém-nascido afetados por outras complicações do trabalho de parto e do parto,P03.3
Feto e recém-nascido afetados por outras complicações do trabalho de parto e do parto,P03.4
Feto e recém-nascido afetados por outras complicações do trabalho de parto e do parto,P03.5
Feto e recém-nascido afetados por outras complicações do trabalho de parto e do parto,P03.6
Feto e recém-nascido afetados por outras complicações do trabalho de parto e do parto,P03.8
Feto e recém-nascido afetados por outras complicações do trabalho de parto e do parto,P03.9
Transtornos relacionados com a gestação prolongada e peso elevado ao nascer,P08.0
Transtornos relacionados com a gestação prolongada e peso elevado ao nascer,P08.1
Transtornos relacionados com a gestação prolongada e peso elevado ao nascer,P08.2
Traumatismo de parto,P10.0
Traumatismo de parto,P10.1
Traumatismo de parto,P10.2
Traumatismo de parto,P10.3
Traumatismo de parto,P10.4
Traumatismo de parto,P10.8
Traumatismo de parto,P10.9
Traumatismo de parto,P11.0
Traumatismo de parto,P11.1
Traumatismo de parto,P11.2
Traumatismo de parto,P11.3
Traumatismo de parto,P11.4
Traumatismo de parto,P11.5
Traumatismo de parto,P11.9
Traumatismo de parto,P12.0
Traumatismo de parto,P12.1
Traumatismo de parto,P12.2
Traumatismo de parto,P12.3
Traumatismo de parto,P12.4
Traumatismo de parto,P12.8
Traumatismo de parto,P12.9
Traumatismo de parto,P13.0
Traumatismo de parto,P13.1
Traumatismo de parto,P13.2
Traumatismo de parto,P13.3
Traumatismo de parto,P13.4
Traumatismo de parto,P13.8
Traumatismo de parto,P13.9
Traumatismo de parto,P14.0
Traumatismo de parto,P14.1
Traumatismo de parto,P14.2
Traumatismo de parto,P14.3
Traumatismo de parto,P14.8
Traumatismo de parto,P14.9
Traumatismo de parto,P15.0
Traumatismo de parto,P15.1
Traumatismo de parto,P15.2
Traumatismo de parto,P15.3
Traumatismo de parto,P15.4
Traumatismo de parto,P15.5
Traumatismo de parto,P15.6
Traumatismo de parto,P15.8
Traumatismo de parto,P15.9
Hipóxia intrauterina e asfixia ao nascer,P20.0
Hipóxia intrauterina e asfixia ao nascer,P20.1
Hipóxia intrauterina e asfixia ao nascer,P20.9
Hipóxia intrauterina e asfixia ao nascer,P21.0
Hipóxia intrauterina e asfixia ao nascer,P21.1
Hipóxia intrauterina e asfixia ao nascer,P21.9
